N, bf16_alpha, bf16_iter, fp32_alpha, fp32_iter, fp64_alpha, fp64_iter
16, 0.99, 149, 1.03, 148, 1.03, 148
32, 1.09, 311, 3.5300000000000002, 79, 3.5300000000000002, 79
48, 3.6900000000000004, 102, 3.730000000000001, 104, 3.730000000000001, 104
64, 3.5900000000000007, 122, 3.6300000000000012, 125, 3.6300000000000012, 125
96, 3.2900000000000014, 155, 3.430000000000002, 158, 3.430000000000002, 158
108, 3.1900000000000017, 169, 3.3300000000000023, 170, 3.3300000000000023, 170
128, 3.090000000000002, 185, 3.2300000000000026, 188, 3.2300000000000026, 188
180, 2.7900000000000027, 226, 2.9300000000000033, 234, 2.9300000000000033, 234
256, 2.3900000000000032, 281, 1.9300000000000033, 294, 1.9300000000000033, 294
320, 2.2900000000000036, 313, 2.530000000000004, 334, 2.530000000000004, 334
360, 2.090000000000004, 351, 2.4300000000000046, 358, 2.4300000000000046, 358
400, 2.090000000000004, 359, 2.3300000000000054, 384, 2.3300000000000054, 384
512, 1.8900000000000046, 423, 2.230000000000006, 451, 2.230000000000006, 451
